|  x,дел |  y,дел | H, A/м  | B, T  |     μ     |
+--------+--------+---------+-------+-----------+
|  4.3   |  3.4   | 31.107  | 0.935 | 23911.75  |
|  4.1   |  3.35  | 29.661  | 0.921 | 24709.38  |
|  3.8   |  3.25  | 27.49   | 0.894 | 25864.296 |
|  3.6   |  3.2   | 26.043  | 0.88  | 26881.183 |
|  3.2   |  3.0   | 23.15   | 0.825 | 28351.248 |
|  3.0   |  2.9   | 21.703  | 0.798 | 29233.287 |
|  2.8   |  2.8   | 20.256  | 0.77  | 30241.331 |
|  2.7   |  2.7   | 19.533  | 0.743 | 30241.331 |
|  2.6   |  2.6   | 18.809  | 0.715 | 30241.331 |
|  2.5   |  2.5   | 18.086  | 0.688 | 30241.331 |
|  2.4   |  2.4   | 17.362  | 0.66  | 30241.331 |
|  2.2   |  2.2   | 15.915  | 0.605 | 30241.331 |
|  2.0   |  2.1   | 14.469  | 0.578 | 31753.398 |
|  1.8   |  1.8   | 13.022  | 0.495 | 30241.331 |
|  1.5   |  1.5   | 10.851  | 0.413 | 30241.331 |
|  1.3   |  1.2   |  9.405  | 0.33  | 27915.075 |
|  0.9   |  0.9   |  6.511  | 0.248 | 30241.331 |
|  0.7   |  0.7   |  5.064  | 0.192 | 30241.331 |
|  0.5   |  0.6   |  3.617  | 0.165 | 36289.597 |
|  0.3   |  0.3   |  2.17   | 0.082 | 30241.331 |
|  0.1   |  0.1   |  0.723  | 0.028 | 30241.331 |
